week_end,week_no,q10,q25,q50,q75,q90,bear,base,bull,P_ge_cost,P_ge_238,P_ge_245,P_ge_261,P_ge_350,P_m10,stance,tags,primary_action,triggers,cashflow
2026-07-24,1,1677034,1763102,1855583,1948064,2034132,1851332,1833176,1869657,0.034,0.014,0.009,0.0,0.0,0.068,방어홀드,실적·빅테크,"평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약. | 이벤트창: 매도는 허용, 재매수는 발표 익일 종가 후.",IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈1%] || IF ≥245만: 탄약 +3주 매도 [P≈1%] || IF ≥261만: 탄약 +3주 매도 [P≈0%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈0%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-07-31,2,1595676,1725660,1861383,1997106,2127090,1851990,1838004,1927650,0.085,0.049,0.037,0.015,0.0,0.13,방어홀드,실적·빅테크,"평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약. | 이벤트창: 매도는 허용, 재매수는 발표 익일 종가 후.",IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈5%] || IF ≥245만: 탄약 +3주 매도 [P≈4%] || IF ≥261만: 탄약 +3주 매도 [P≈2%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈0%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-08-07,3,1570069,1731580,1888690,2045799,2207310,1840401,1846252,1973976,0.123,0.075,0.062,0.038,0.001,0.144,방어홀드,,평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈8%] || IF ≥245만: 탄약 +3주 매도 [P≈6%] || IF ≥261만: 탄약 +3주 매도 [P≈4%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈0%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-08-14,4,1530069,1712710,1910040,2107369,2290010,1846574,1855287,2011219,0.182,0.118,0.09,0.052,0.006,0.159,방어홀드,,평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈12%] || IF ≥245만: 탄약 +3주 매도 [P≈9%] || IF ≥261만: 탄약 +3주 매도 [P≈5%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈1%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-08-21,5,1493167,1691860,1918183,2144507,2343200,1825878,1846241,2102326,0.199,0.151,0.118,0.074,0.011,0.171,방어홀드,,평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈15%] || IF ≥245만: 탄약 +3주 매도 [P≈12%] || IF ≥261만: 탄약 +3주 매도 [P≈7%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈1%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-08-28,6,1501051,1695858,1955915,2215973,2410780,1845897,1873088,2160510,0.238,0.162,0.136,0.09,0.018,0.18,방어홀드,,평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈16%] || IF ≥245만: 탄약 +3주 매도 [P≈14%] || IF ≥261만: 탄약 +3주 매도 [P≈9%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈2%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-09-04,7,1468273,1695361,1986733,2278104,2505192,1851778,1879979,2216733,0.277,0.212,0.164,0.116,0.022,0.175,방어홀드,Q3민감,평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈21%] || IF ≥245만: 탄약 +3주 매도 [P≈16%] || IF ≥261만: 탄약 +3주 매도 [P≈12%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈2%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-09-11,8,1436334,1705533,2003155,2300777,2569976,1858501,1904034,2268556,0.312,0.23,0.196,0.136,0.03,0.192,방어홀드,Q3민감,평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈23%] || IF ≥245만: 탄약 +3주 매도 [P≈20%] || IF ≥261만: 탄약 +3주 매도 [P≈14%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈3%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-09-18,9,1381118,1705711,2018045,2330379,2654972,1847573,1922208,2303803,0.344,0.251,0.223,0.16,0.044,0.184,방어홀드,Q3민감,평단 아래 구간 확률 우위 → 매도 없음. 이자 유동성만 확보. 트리거는 예약.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈25%] || IF ≥245만: 탄약 +3주 매도 [P≈22%] || IF ≥261만: 탄약 +3주 매도 [P≈16%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈4%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,순유출: 이자 ~주 22만원 수준
2026-09-25,10,1395424,1743014,2066922,2390830,2738421,1841549,1934893,2342777,0.361,0.296,0.241,0.187,0.051,0.181,탈환감시,Q3민감,평단 탈환 시도 구간. 종가 2일 연속 226.5만↑ 확인 후 매도계단 가동.,IF ≥238만: 탄약 3주 매도 (누적현금↑) [P≈30%] || IF ≥245만: 탄약 +3주 매도 [P≈24%] || IF ≥261만: 탄약 +3주 매도 [P≈19%] || IF 매도평균 대비 −12/−18/−25%: 현금 40/40/20 재매수 || IF ≥350만: 코어 12주 익절→대출상환 [P≈5%] || IF ≤166만(추가 −10%): 신규매수 금지·홀드 / 여유현금 있을 때만 3차 대기,유입 대기 / 이자 유출
