week_end,q10,q25,q50,q75,q90,bear,base,bull
2026-07-17,1842000.0,1842000.0,1842000.0,1842000.0,1842000.0,1842000.0,1842000.0,1842000.0
2026-07-24,1677034.702856419,1763102.223827289,1855583.4822519515,1948064.740676614,2034132.261647484,1851332.1970647029,1833176.0479041915,1869657.638743742
2026-07-31,1595676.242906787,1725660.4866661418,1861383.2799287464,1997106.073191351,2127090.316950706,1851990.7735677022,1838004.338394794,1927650.5914256056
2026-08-07,1570069.617700059,1731580.809294933,1888690.2304882903,2045799.6516816476,2207310.8432765217,1840401.0416666667,1846252.595358543,1973976.3923264774
2026-08-14,1530069.6072172425,1712710.8706615078,1910040.0993524385,2107369.328043369,2290010.5914876345,1846574.9051011838,1855287.5346799109,2011219.4580447858
2026-08-21,1493167.113080306,1691860.5418852202,1918183.9683867148,2144507.394888209,2343200.8236931236,1825878.4290055688,1846241.7962003455,2102326.3568785307
2026-08-28,1501051.7854370212,1695858.1882015204,1955915.9859976661,2215973.7837938117,2410780.186558311,1845897.0611608974,1873088.6075949369,2160510.1358824978
2026-09-04,1468273.1904490353,1695361.3129381447,1986733.051125256,2278104.7893123673,2505192.911801477,1851778.9782682133,1879979.3814432991,2216733.5243553007
2026-09-11,1436334.1355385054,1705533.241392937,2003155.3617163484,2300777.48203976,2569976.5878941915,1858501.0878778608,1904034.452804881,2268556.511056511
2026-09-18,1381118.7582833474,1705711.8177547492,2018045.5767194359,2330379.3356841225,2654972.3951555244,1847573.4882293101,1922208.794418835,2303803.0560271638
2026-09-25,1395424.4540697085,1743014.9513167161,2066922.8791773776,2390830.807038039,2738421.3042850466,1841549.5558083616,1934893.999563237,2342777.218089252
2026-10-02,1319802.3205068589,1685164.0752135254,2056711.6564417176,2428259.23766991,2793620.992376576,1862415.9608017525,1944451.4016608817,2419353.0139748016
2026-10-09,1283428.1605334324,1667539.647880811,2063079.2071149554,2458618.7663490996,2842730.2536964784,1841096.4348390426,1973087.116564417,2480449.7728800247
2026-10-16,1293672.9106616615,1674818.9590667207,2103785.673352435,2532752.38763815,2913898.436043209,1844215.6072794925,1975665.181413113,2539953.960511229
2026-10-23,1248803.152406105,1695245.8754319544,2132338.337182448,2569430.798932941,3015873.5219587907,1865811.186392545,2018189.5152318059,2606624.841735297
2026-10-30,1195702.1883622156,1704798.4282873808,2129313.7333099367,2553829.0383324926,3062925.278257658,1867881.5417270293,2005491.1242603555,2640268.7569988808
2026-11-06,1212232.9032643621,1716966.5215691905,2181631.236442516,2646295.9513158416,3151029.56962067,1891218.815650924,2029820.6724692038,2678242.948055415
2026-11-13,1198414.1606264352,1710155.3900768375,2202758.5657130666,2695361.7413492957,3207102.970799698,1887599.3971492243,2028194.9458483753,2743456.922016996
2026-11-20,1110088.9381839845,1705223.4035724835,2216790.8047940037,2728358.206015524,3323492.6714040227,1892862.4325424582,2045527.968980126,2827176.062854913
2026-11-27,1123543.2754371148,1706813.2051704964,2257387.858716528,2807962.5122625595,3391232.441995941,1846827.6875736522,2082761.7260787985,2897553.489888514
2026-12-04,1118198.5412881062,1703041.1790851234,2274663.212435232,2846285.2457853407,3431127.883582358,1855511.0169527812,2062598.8023952094,2961635.3905564356
2026-12-11,1112420.0144163328,1733824.5282880035,2335880.015774368,2937935.503260732,3559340.017132403,1851347.935056392,2096753.1304681494,3042739.2951010857
2026-12-18,1054351.0593468286,1741477.054952152,2350565.656565657,2959654.2581791617,3646780.253784485,1853614.3202794879,2142664.1651031887,3070244.2546090833
2026-12-25,1031906.1880718148,1723268.6092553409,2370946.5234954627,3018624.4377355846,3709986.8589191106,1838368.1291882752,2199099.386503068,3089223.0767722176
2027-01-01,1001707.310717751,1751792.6506894245,2424989.8989898995,3098187.1472903746,3848272.487262048,1842400.0544080504,2281229.792147805,3180045.824266794
